reaction,bnumber,gene_name,Chemostat_vilu_011,Chemostat_heinmann_012,galactose_heinmann,Chemostat_heinmann_02,Chemostat_vilu_021,acetate_heinmann,Chemostat_vilu_031,Chemostat_heinmann_035,glucosamine_heinmann,pyruvate_heinmann,succinate_heinmann,Chemostat_vilu_04,fumarate_heinmann,glycerol_heinmann,Chemostat_vilu_049,pH6_heinmann,Chemostat_heinmann_05,anaerobic_heinmann,glucose_heinmann,NaCl_50mM_heinmann,42Cdeg_henimann
MN2tpp,b3040,,12715082207025,13870998771300,19650581592675,23118331285500,24274247849775,33521580363975,35833413492525,40457079749625,45080746006725,46236662571000,46236662571000,46236662571000,54328078520925,54328078520925,56639911649475,57795828213750,57795828213750,63575411035125,69354993856500,75134576677875,75134576677875
MN6PP,b0822,ybiV,,,,,,,,,,,,,,,,,,,,,
MNNH,b4322,uxuA,,,,,,,,,,,,,,,,,,,,,
MNt2pp,b2392,mntH,,,,,,,,,,,,,,,,,,,,,
MOAT,b3633,waaA,358009608422400,390555936460800,553287576652800,650926560768000,683472888806400,943843513113600,1008936169190400,1139121481344000,1269306793497600,1301853121536000,1301853121536000,1301853121536000,1529677417804800,1529677417804800,1594770073881600,1627316401920000,1627316401920000,1790048042112000,1952779682304000,2115511322496000,2115511322496000
MOAT2,b3633,waaA,358009608422400,390555936460800,553287576652800,650926560768000,683472888806400,943843513113600,1008936169190400,1139121481344000,1269306793497600,1301853121536000,1301853121536000,1301853121536000,1529677417804800,1529677417804800,1594770073881600,1627316401920000,1627316401920000,1790048042112000,1952779682304000,2115511322496000,2115511322496000
MOAT3C,b3624,rfaZ,,,,,,,,,,,,,,,,,,,,,
MOCDS,b2877,mocA,,,,,,,,,,,,,,,,,,,,,
MOCOS,b0827,moeA,2244920447550,2449004124600,3469422509850,4081673541000,4285757218050,5918426634450,6326593988550,7142928696750,7959263404950,8163347082000,8163347082000,8163347082000,9591932821350,9591932821350,10000100175450,10204183852500,10204183852500,11224602237750,12245020623000,13265439008250,13265439008250
MOHMT,b0134,panB,10598968670402.1,11562511276805.6,16380224308795.6,19270852127978.4,20234394734391.3,27942735585601.2,29869820798352.6,33723991224041.2,37578161649581.1,38541704255994,38541704256031.1,38541704255994,45286502500809.6,45286502500809.6,47213587713635.3,48177130320085.3,48177130320085.3,52994843351889.6,57812556383879.5,62630269416018.1,62630269416018.1
MPTAT,b0009,mog,4489840895100,4898008249200,6938845019700,8163347082000,8571514436100,11836853268900,12653187977100,14285857393500,15918526809900,16326694164000,16326694164000,16326694164000,19183865642700,19183865642700,20000200350900,20408367705000,20408367705000,22449204475500,24490041246000,26530878016500,26530878016500
MPTSS,b0826,moeB,8979681790200,9796016498400,13877690039400,16326694164000,17143028872200,23673706537800,25306375954200,28571714787000,31837053619800,32653388328000,32653388328000,32653388328000,38367731285400,38367731285400,40000400701800,40816735410000,40816735410000,44898408951000,48980082492000,53061756033000,53061756033000
MTAN,b0159,mtnN,,,,,,,,,,,,,,,,,,,,,
MTHFC,b0529,folD,18239316200801400,19897435855422600,28118275985751900,33162393092365900,34820512746984500,47966470799222900,51401709293167000,58034187911641800,64666666530118500,66160649378237100,66160649378242800,66324786184732900,77738763019433500,77931623767063200,81247863076302500,82905982730916100,82905982730916100,90970892895080400,99487179277100600,107777777550192000,107777777550192000
MTHFD,b0529,folD,18239316200801400,19897435855422600,28118275985751900,33162393092365900,34820512746984500,47966470799222900,51401709293167000,58034187911641800,64666666530118500,66160649378237100,66160649378242800,66324786184732900,77738763019433500,77931623767063200,81247863076302500,82905982730916100,82905982730916100,90970892895080400,99487179277100600,107777777550192000,107777777550192000
MTHFR2,b3941,metF,2840357994781730,3098572357943700,4389644173753580,5164287263239500,5422501626401470,7488216531697270,8004645258021220,9037502710669120,10070360163317000,10328574526479000,10328574526479000,10328574526479000,12136075068612800,12136075068612800,12652503794936800,12910718158098800,12910718158098800,14201789973908600,15492861789718500,16783933605528400,16783933605528400
MTHTHFSs,s0001,,8243642299200,8993064326400,12740174462400,14988440544000,15737862571200,21733238788800,23232082843200,26229770952000,29227459060800,29976881088000,29976881088000,29976881088000,35222835278400,35222835278400,36721679332800,37471101360000,37471101360000,41218211496000,44965321632000,48712431768000,48712431768000
MTRPOX,b1059,solA,,,,,,,,,,,,,,,,,,,,,
N2Otpp,s0001,,,,,,,,,,,,,,,,,,,,,,
NACODA,b3957,argE,,,,,,,,,,,,,,,,,,,,,
NADH10,b1109,ndh,,,,,,,,,,,,,,,,,,,,,
NADH5,b1109,ndh,,,,,,,,,,,,,,,,,,,,,
NADH9,b1109,ndh,,,,,,,,,,,,,,,,,,,,,
NADK,b2615,ppnK,8225241311913.59,8972990522094.3,12711736572979.3,14954984203502.9,15702733413627.9,21684727095017.9,23180225515397.9,26171222356083.6,29162219196806.5,29909968406968.6,29909968406931.5,29909968407005.8,35144212878140.8,35144212878363.6,36639711298613.6,37387460508775.8,37387460508775.8,41126206559735.1,44864952610545.8,48603698661430.8,48603698661430.8
NADPHQR2,b3028,mdaB,,,,,,,,,,,,,,,,,,,,,
NADPHQR3,b3028,mdaB,,,,,,,,,,,,,,,,,,,,,
NADPHQR4,b3028,mdaB,,,,,,,,,,,,,,,,,,,,,
NADS1,b1740,nadE,41917449012431.5,45728126195400,64781512110131.5,76213543659000.1,80024220841894.4,110509638305494,118130992671432,133373701403232,148616410135032,152427087318000,152427087317814,152427087318000,179101827598520,179101827598780,186723181964569,190533859147537,190533859147537,209587245062380,228640630977075,247694016891769,247694016891769
NAMNPP,b0931,pncB,,,,,,,,,,,,,,,,,,,,,
NAt3_1p5pp,b1186,nhaB,,,,,,,,,,,,,,,,,,,,,
NAt3_2pp,b0019,nhaA,,,,,,,,,,,,,,,,,,,,,
NI2abcpp,b3469,zntA,,,,,,,,,,,,,,,,,,,,,
NI2tpp,b3816,corA,5943518889825,6483838788900,9185438284275,10806397981500,11346717880575,15669277073175,16749916871325,18911196467625,21072476063925,21612795963000,21612795963000,21612795963000,25395035256525,25395035256525,26475675054675,27015994953750,27015994953750,29717594449125,32419193944500,35120793439875,35120793439875
NMNPtpp,b0751,pnuC,,,,,,,,,,,,,,,,,,,,,
NNAM,b1768,pncA,,,,,,,,,,,,,,,,,,,,,
NNATr,b0639,nadD,41917449012431.5,45728126195400,64781512110131.5,76213543659000.1,80024220841894.4,110509638305494,118130992671432,133373701403232,148616410135032,152427087318000,152427087317814,152427087318000,179101827598520,179101827598780,186723181964569,190533859147537,190533859147537,209587245062380,228640630977075,247694016891769,247694016891769
NNDMBRT,b1991,cobT,,,,,,,,,,,,,,,,,,,,,
NNDPR,b0109,nadC,41917449012431.5,45728126195400,64781512110131.5,76213543659000.1,80024220841894.4,110509638305494,118130992671432,133373701403232,148616410135032,152427087318000,152427087317814,152427087318000,179101827598520,179101827598780,186723181964569,190533859147537,190533859147537,209587245062380,228640630977075,247694016891769,247694016891769
NODOx,b2552,hmp,,,,,,,,,,,,,,,,,,,,,
NODOy,b2552,hmp,,,,,,,,,,,,,,,,,,,,,
NOVBCNtex,s0001,,,,,,,,,,,,,,,,,,,,,,
NOtpp,s0001,,,,,,,,,,,,,,,,,,,,,,
NTD10,b2744,surE,,,,,,,,,,,,,,,,,,,,,
NTD11,b2744,surE,,,,,,,,,,,,,,,,,,,,,
NTD4,b2744,surE,,,,,,,,,,,,,,,,,,,,,
NTD7,b2744,surE,,,,,,,,,,,,,,,,,,,,,
NTD9,b2744,surE,,,,,,,,,,,,,,,,,,,,,
NTP11,b4394,yjjX,,,,,,,,,,,,,,,,,,,,,
NTP12,b4394,yjjX,,,,,,,,,,,,,,,,,,,,,
NTP3,b4161,rsgA,,,,,,,,,,,,,,,,,,,,,
NTP3pp,b0980,appA,,,,,,,,,,,,,,,,,,,,,
